Second 1 X,Second 1 Y,Second 1 Z,Second 2 X,Second 2 Y,Second 2 Z,Second 3 X,Second 3 Y,Second 3 Z,Second 4 X,Second 4 Y,Second 4 Z,Second 5 X,Second 5 Y,Second 5 Z,Second 6 X,Second 6 Y,Second 6 Z,Second 7 X,Second 7 Y,Second 7 Z,Second 8 X,Second 8 Y,Second 8 Z,Second 9 X,Second 9 Y,Second 9 Z,Second 10 X,Second 10 Y,Second 10 Z,animal
-0.634463,9.023746,-3.019088,-1.204283,9.153033,-1.968034,-0.251391,9.591172,-2.185906,0.162806,9.196129,-3.107674,-0.632069,9.289502,-2.027889,-1.685518,10.551247,-2.719813,-0.462081,11.93749,-1.271321,2.789245,7.103596,-2.454057,3.773262,4.639963,-2.932897,7.862558,-3.375824,-0.548272,Elephant
-0.639252,8.276755,-4.752491,-0.696713,8.48984,-4.616021,-0.203507,8.767567,-5.544971,2.717419,9.5385,-7.673417,-4.03423,7.000646,-0.600945,-1.405396,7.465121,0.931344,-1.673547,3.550601,4.493917,-3.483563,2.082955,0.222661,-17.420212,-32.228348,20.62126,6.964733,-2.442086,3.287239,Elephant
1.501164,6.572083,6.23929,2.25055,5.635951,7.678205,2.47321,5.398925,7.57286,2.434903,5.506664,7.85777,2.5187,5.556942,7.694964,2.667141,5.351041,7.627927,2.743755,5.226542,7.694964,3.801992,4.177882,8.889671,1.508347,6.854599,7.108385,6.294356,7.141904,7.678205,Elephant
-1.984793,2.090138,9.205706,-2.097321,2.018312,9.844957,-2.252944,1.661576,9.701305,-3.926491,1.831564,10.055647,-6.605602,2.238579,5.087678,14.393941,1.963245,18.361134,-5.619191,3.940856,9.43076,-6.916849,6.246472,9.354146,-8.765172,4.893748,14.192827,-9.593566,-3.70383,6.279991,Elephant
1.630451,4.144363,8.597578,1.484405,4.343082,8.552089,0.636858,4.209007,8.755595,0.584185,3.948039,8.662222,0.282516,3.639187,9.361329,-0.031125,3.648763,9.198523,0.167594,3.727772,8.985439,0.766145,3.476381,8.980651,0.708684,3.450045,9.325416,0.758962,3.55539,8.880095,Elephant
1.908179,5.12838,8.111555,2.176329,4.855441,7.910442,1.762132,4.908113,8.207323,1.774103,4.800375,8.317456,1.656788,4.735731,8.406042,1.697489,4.702212,8.185776,1.47004,4.489128,8.896853,0.799663,4.333505,9.370906,-2.707842,4.362236,9.040505,-3.708618,3.639187,10.793061,Elephant
-1.391031,3.49314,10.041282,-0.842759,3.440468,9.950302,-0.663194,3.701436,8.50181,-0.933739,3.89776,9.267955,-0.201113,4.13718,9.569624,-0.35913,4.400543,9.119514,1.347936,3.210624,8.774749,1.460463,2.48997,9.991004,-0.385466,3.191471,9.172187,0.423774,3.28245,8.947132,Elephant
-1.103727,2.044648,8.947132,0.349553,1.074997,10.42196,0.533907,1.043872,10.618284,1.896208,1.362301,9.392453,1.814805,1.391031,9.356541,1.173159,1.00317,9.615114,1.063026,1.477222,10.0341,1.762132,1.189918,9.497798,-0.253785,1.173159,9.888053,-0.70629,1.086968,10.453085,Elephant
-0.42138,3.392584,10.398018,-1.007959,3.102885,9.097966,-0.713472,2.734178,9.758766,0.979228,2.102109,10.058042,1.434127,1.742979,10.043676,0.505177,0.627281,9.832987,1.027112,1.465251,9.313444,0.622492,1.381454,9.112331,0.641646,1.570596,10.838552,-0.31364,0.847547,10.508151,Elephant
0.057461,4.237737,8.396465,1.113304,3.617639,9.962274,0.538695,3.610456,8.633492,-1.841141,1.893813,6.981492,-1.422156,1.465251,12.026075,-0.265756,2.964022,7.908048,-0.715866,3.58412,8.805874,-0.251391,3.742137,12.325351,1.807622,1.510741,13.599066,4.434062,1.290475,7.874529,Elephant
