time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,Humidity %,moisture0,moisture1,moisture2,latitude,longitude,elevation,country,city
1/1/2018,51,30.9,23,26.5,35.2,26.9,30.7,2018-01-01T00:52,2018-01-01T12:35,0.1,0.1,1,10,23.8,316,44.3,0.7,0.64,0.73,7,79.899994,16,Sri Lanka,Colombo
1/2/2018,51,30.7,23,27,35.5,27,31.1,2018-01-02T00:52,2018-01-02T12:36,0.4,0.4,2,9.2,25.9,252,44,0.7,0.64,0.71,7,79.899994,16,Sri Lanka,Colombo
1/3/2018,2,31.3,23.1,27.3,35,26.2,30.9,2018-01-03T00:53,2018-01-03T12:36,0,0,0,11,27.7,348,43.8,0.69,0.63,0.7,7,79.899994,16,Sri Lanka,Colombo
1/4/2018,2,32,22.7,27.2,35.3,24.9,29.3,2018-01-04T00:53,2018-01-04T12:37,0,0,0,11.4,28.8,9,52,0.69,0.63,0.7,7,79.899994,16,Sri Lanka,Colombo
1/5/2018,1,30.2,22,25.8,31,22.3,26.5,2018-01-05T00:53,2018-01-05T12:37,0,0,0,17,36.4,15,58.3,0.69,0.62,0.69,7,79.899994,16,Sri Lanka,Colombo
1/6/2018,1,30.3,21.3,25.7,31.2,21.9,26.2,2018-01-06T00:54,2018-01-06T12:38,0,0,0,15.5,33.5,15,58.7,0.68,0.62,0.69,7,79.899994,16,Sri Lanka,Colombo
1/7/2018,1,29.9,20.7,25.4,30.5,21.4,25.8,2018-01-07T00:54,2018-01-07T12:38,0,0,0,20.5,41.8,9,59.2,0.69,0.62,0.69,7,79.899994,16,Sri Lanka,Colombo
1/8/2018,1,31.1,20.7,26.2,34.2,21.9,28.1,2018-01-08T00:54,2018-01-08T12:39,0,0,0,11.3,24.1,21,49.9,0.69,0.62,0.68,7,79.899994,16,Sri Lanka,Colombo
1/9/2018,2,30.7,22.1,26.3,34.7,24.4,29.2,2018-01-09T00:55,2018-01-09T12:39,0,0,0,13.7,25.9,0,49.8,0.68,0.62,0.68,7,79.899994,16,Sri Lanka,Colombo
1/10/2018,51,30.9,23.1,26.9,36.2,27.3,31.3,2018-01-10T00:55,2018-01-10T12:40,0.7,0.7,4,6.3,19.8,154,38.2,0.68,0.62,0.68,7,79.899994,16,Sri Lanka,Colombo
